No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
516. Đình Kiền Bái, Kiền Bái- Thủy Nguyên, Lịch sử văn hóa, 1986, N/A
517. Quần thể di tích - danh thắng Tràng Kênh, Minh Đức- Thủy Nguyên, Lịch sử văn hóa, danh thắng, 1962, N/A
518. Đình Đồng Dụ, Đặng Cương- An Dương, Lịch sử văn hóa, 1991, N/A
519. Đình Vĩnh Khê, An Đồng- An Dương, Lịch sử văn hóa, 1991, N/A
520. Đình Nhu Thượng, Quốc Tuấn- An Dương, Lịch sử văn hóa, 1991, N/A
521. Miếu Nam, Bắc Sơn- An Dương, Lịch sử văn hóa, 1990, N/A
522. Đình Hà Đậu, Hồng Phong- An Dương, Lịch sử văn hóa, 1994, N/A
523. Đình, chùa Do Nha, Tân Tiến- An Dương, Lịch sử văn hóa, 2007, N/A
524. Đình Dụ Nghĩa, Lê Thiện- An Dương, Lịch sử văn hóa, 1994, N/A
525. Đình Quỳnh Hoàng, Nam Sơn- An Dương, Lịch sử văn hóa, 1992, N/A
526. Đền thờ Trạng Trình Nguyễn Bỉnh Khiêm (thuộc Khu di tích Trạng Trình Nguyễn Bỉnh Khiêm), Lý Học- Vĩnh Bảo, Lịch sử văn hóa đặc biệt, 1991, đặc biệt 2015
527. Đình Lễ Hợp, Tam Đa- Vĩnh Bảo, Lịch sử văn hóa, 1994, N/A
528. Miếu Vua Bà, Vinh Quang- Vĩnh Bảo, Lịch sử văn hóa, 1991, N/A
529. Đình An Quý, Cộng Hiền- Vĩnh Bảo, Lịch sử văn hóa, 1999, N/A
530. Miếu Hà Phương, Thắng Thủy- Vĩnh Bảo, Lịch sử văn hóa, 1993, N/A
531. Đình Vĩnh Lạc, Tiền Phong- Vĩnh Bảo, Lịch sử văn hóa, 2017, số 825/QĐ
532. Đình Cung Chúc, Trung Lập- Vĩnh Bảo, Lịch sử văn hóa, 1962, số 313-VH/VP
533. Đình Kim Sơn, Tân Trào- Kiến Thụy, Lịch sử cách mạng, 1986, N/A
534. Từ đường họ Mạc, Ngũ Đoan- Kiến Thụy, Lịch sử cách mạng, 2002, N/A
535. Đình, chùa Chi Lai - Núi Voi (Hải Phòng), Trường Thành- An Lão, Lịch sử danh thắng, 1962, số 313-VH/VP
536. Di tích khảo cổ Cái Bèo, Cát Bà- Cát Hải, Lịch sử văn hóa, 2009, N/A
537. Địa điểm Bác Hồ về thăm làng Cá Cát Bà, Cát Bà- Cát Hải, Lịch sử văn hóa, 2009, N/A
538. Chùa Văn Hòa, Hữu Bằng- Kiến Thụy, Lịch sử văn hóa, 1996, N/A
539. Đình Tri Yếu, Đặng Cương- An Dương, Lịch sử, 1991, N/A
540. Vĩnh Phong, Vĩnh Bảo, Lịch sử văn hóa, N/A, N/A, 1992
541. Chùa Đoan Túc, Tiền Phong- Tp. Thái Bình, Lịch sử văn hóa, 1989, N/A
542. Đình Tống Thỏ, Đông Mỹ- Tp. Thái Bình, Lịch sử văn hóa, N/A, N/A
543. Miếu Bắc, Đông Sơn- Đông Hưng, Lịch sử văn hóa, N/A, N/A
544. Đình, Miếu Hậu Trung, Miếu Hậu Thượng, Hồng Bạch- Đông Hưng, Lịch sử văn hóa, 1989, N/A
545. Chùa Thiên Quý, Đông Xuân- Đông Hưng, Lịch sử văn hóa, N/A, N/A
546. Chùa Đọ, Đông Sơn- Đông Hưng, Lịch sử văn hóa, N/A, N/A
547. Đình, Nghè Cổ Dũng, Đông La- Đông Hưng, Lịch sử văn hóa, N/A, N/A
548. Đình, Chùa, Lăng Thượng Liệt, Đông Tân- Đông Hưng, Lịch sử văn hóa, N/A, N/A
549. Đình Lưu, Đông Phương- Đông Hưng, Lịch sử văn hóa, N/A, N/A
550. Từ đường Đào Vũ Thường, Đông Quang- Đông Hưng, Lịch sử văn hóa, N/A, N/A
551. Từ đường Phạm Huy Quang, Đông Sơn- Đông Hưng, Lịch sử văn hóa, 1993, N/A
552. Đình, Chùa, Miếu Bình Cách, Đông Xá- Đông Hưng, Lịch sử văn hóa, N/A, N/A
553. Làng Kháng chiến Nguyên Xá, Nghĩa trang liệt sĩ Đông Hưng, Nguyên Xá- Đông Hưng, Lịch sử văn hóa, N/A, N/A
554. Lăng Thái Bảo Đỗ Tử Bình, Hồng Việt- Đông Hưng, Lịch sử văn hóa, 1999, N/A
555. Đình Kênh, Đông Xuân- Đông Hưng, Lịch sử văn hóa, N/A, N/A
556. Đình Lịch Động, Đông Các- Đông Hưng, Lịch sử văn hóa, N/A, N/A
557. Đình Tàu, Đông Sơn- Đông Hưng, Lịch sử văn hóa, N/A, N/A
558. Từ đường Thượng thư Lương Quy Chính, Hồng Việt- Đông Hưng, Lịch sử văn hóa, N/A, N/A
559. Chùa Cần Tu, Đông Dương- Đông Hưng, Lịch sử văn hóa, N/A, N/A
560. Từ đường, Lăng mộ Lê Quý Đôn, Độc Lập- Hưng Hà, Lịch sử văn hóa, N/A, N/A
561. Từ đường Bùi Sỹ Tiêm, Đông Kinh- Đông Hưng, Lịch sử văn hóa, N/A, N/A
562. Đền Tiên La, Đoan Hùng- Hưng Hà, Lịch sử văn hóa, N/A, N/A
563. Đền Buộm, Đền Rẫy, Nhà thờ Tiên Tiến, Tân Tiến- Hưng Hà, Lịch sử văn hóa, N/A, N/A
564. Đền Lưu Xá, Chùa Báo Quốc, Canh Tân- Hưng Hà, Lịch sử văn hóa, N/A, N/A
565. Đền Trần (Thái Bình), Tiến Đức- Hưng Hà, Lịch sử văn hóa, 2014, 2408/QĐ-TTg
566. Đền thờ Trạng nguyên Phạm Đôn Lễ, Tân Lễ- Hưng Hà, Lịch sử văn hóa, N/A, N/A
567. Đền, Lăng Thái sư Trần Thủ Độ, Đền Linh từ Quốc mẫu Trần Thị Dung, Liên Hiệp- Hưng Hà, Lịch sử văn hóa, N/A, N/A
568. Đình, Miếu, Chùa Diệc, Tân Hòa- Hưng Hà, Lịch sử văn hóa, N/A, N/A
569. Đình Khả, Duyên Hải- Hưng Hà, Lịch sử văn hóa, N/A, N/A
570. Đình, Chùa Hú, Hòa Tiến- Hưng Hà, Lịch sử văn hóa, N/A, N/A
571. Từ đường thờ TS Nguyễn Tông Quai, Hòa Tiến- Hưng Hà, Lịch sử văn hóa, N/A, N/A
572. Đình, Đền Cổ Trai, Hồng Minh- Hưng Hà, Lịch sử văn hóa, N/A, N/A
573. Đình Ngừ, Liên Hiệp- Hưng Hà, Lịch sử văn hóa, N/A, N/A
574. Đình Thọ Phú, Hồng Minh- Hưng Hà, Lịch sử văn hóa, 11/10/2006, 85/2006/QĐ
575. Đình Xuân Lôi, Hồng Minh- Hưng Hà, Lịch sử văn hóa, N/A, N/A
576. Đình, Đền Thanh Lãng, Minh Hòa- Hưng Hà, Lịch sử văn hóa, N/A, N/A
577. Nhà lưu niệm Văn thân Nguyễn Mậu Kiến, Vũ Trung- Kiến Xương, Lịch sử văn hóa, N/A, N/A
578. Đình Lai Vi, Quang Minh- Kiến Xương, Lịch sử văn hóa, N/A, N/A
579. Đền Mộ Đạo, Đền Cả, Vũ Bình- Kiến Xương, Lịch sử văn hóa, N/A, N/A
580. Nhà thờ Tứ Quận Công và Văn thân Nguyễn Năng Thế, Vũ Trung- Kiến Xương, Lịch sử văn hóa, N/A, N/A
581. Đình Thượng Phúc, Quang Trung- Kiến Xương, Lịch sử văn hóa, N/A, N/A
582. Đình Luật Nội, Đình Luật Ngoại, Quang Lịch- Kiến Xương, Lịch sử văn hóa, N/A, N/A
583. Đền Đông Sàn, Hồng Thái- Kiến Xương, Lịch sử văn hóa, N/A, N/A
584. Cơ sỏ Xứ ủy Bắc Kỳ, Đình Phùng- Kiến Xương, Lịch sử văn hóa, N/A, N/A
585. Chùa Lãng Đông, Trà Giang- Kiến Xương, Lịch sử văn hóa, N/A, N/A
586. Đình Cả, Vũ Trung- Kiến Xương, Lịch sử văn hóa, N/A, N/A
587. Đền Tổ, Hồng Thái- Kiến Xương, Lịch sử văn hóa, N/A, N/A
588. Đình Lại Trì, Tây Sơn- Kiến Xương, Lịch sử văn hóa, 14/4/2011, 1262/QĐ
589. Chùa Am, Quang Bình- Kiến Xương, Lịch sử văn hóa, N/A, N/A
590. Đình Son, Minh Quang- Kiến Xương, Lịch sử văn hóa, N/A, N/A
591. Miếu Trà Đoài, Quang Trung- Kiến Xương, Lịch sử văn hóa, 2017, số 826/QĐ
592. Đền Đồng Bằng, An Lễ- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
593. Đền Hồng Phong, An Tràng- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
594. Đền Lộng Khê, An Khê- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
595. Đền Năm thôn, Châu Sơn- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
596. Đền Ngọc Quế, Quỳnh Hoa- Quỳnh Phụ, Lịch sử văn hóa, 30/10/1990, số: 1214/VHQG
597. Miếu Hoàng Bà, Quỳnh Hoa- Quỳnh Phụ, Văn hóa kiến trúc, 2018, N/A
598. Đình An Bài, An Bài- Quỳnh Phụ, Lịch sử văn hóa, 7/1/2020, 37/QĐ-BVHTTDL
599. Đình Đông Linh, An Bài- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
600. Đình Hiệp Lực, An Khê- Quỳnh Phụ, Lịch sử văn hóa, 30/10/1990, 1214/VHQG
601. Đình Lương Mỹ, Quỳnh Hội- Quỳnh Phụ, Lịch sử văn hóa, 14/4/2011, 1261/QĐ
602. Đình Vạn Phúc, An Ninh- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
603. Đình Vĩnh Phúc, Quỳnh Trang- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
604. Đình, Đền, Bến tượng A Sào, An Thái- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
605. Đình, Đền, La Vân,, Quỳnh Hồng- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
606. Miếu Hòe Thị, Đồng Tiến- Quỳnh Phụ, Lịch sử văn hóa, N/A, N/A
607. Miếu Rọc, An Dục- Quỳnh Phụ, Lịch sử văn hóa, 11/10/2006, 86/2006/QĐ
608. Đình An Cổ, An Tân- Thái Thụy, Lịch sử văn hóa, 1962, số 313-VH/VP
609. Đền Cả, Thụy Chính- Thái Thụy, Lịch sử văn hóa, N/A, N/A
610. Đền Chò, Thụy Trường- Thái Thụy, Lịch sử văn hóa, N/A, N/A
611. Đền Côn Giang, Từ đường họ Quách, Nhà thờ Quách Đình Bảo, Quách Hữu Nghiêm, Thái Phúc- Thái Thụy, Lịch sử văn hóa, N/A, N/A
612. Đền Hạ Đồng, Thụy Sơn- Thái Thụy, Lịch sử văn hóa, N/A, N/A
613. Đền Hệ, Thụy Ninh- Thái Thụy, Lịch sử văn hóa, N/A, N/A
614. Đền Hét, Thái Thượng- Thái Thụy, Lịch sử văn hóa, N/A, N/A
615. Đền thờ Đinh Trinh, Dương Hồng Thủy- Thái Thụy, Lịch sử văn hóa, N/A, N/A
616. Đình An Tiêm, Thụy Dân- Thái Thụy, Lịch sử văn hóa, 14/4/2011, N/A
617. Đình Bích Đoài, Thái Nguyên- Thái Thụy, Lịch sử văn hóa, N/A, N/A
618. Đình Các Đông, Thái Thượng- Thái Thụy, Lịch sử văn hóa, N/A, N/A
619. Đình Phất Lộc, Thái Giang- Thái Thụy, Lịch sử văn hóa, N/A, N/A
620. Đình Phương Man, Hồng Dũng- Thái Thụy, Lịch sử văn hóa, N/A, N/A
621. Đình Tử Các, Thái Thượng- Thái Thụy, Lịch sử văn hóa, N/A, N/A
622. Đình Vạn Đồn, Đình Lưu Đồn, Đình Tu Trình, Hồng Dũng- Thái Thụy, Lịch sử văn hóa, N/A, N/A
623. Khu lưu niệm và Lăng mộ Nguyễn Đức Cảnh, Diêm Điền- Thái Thụy, Lịch sử văn hóa, N/A, N/A
624. Miếu Ba Thôn, Thụy Hải- Thái Thụy, Lịch sử văn hóa, N/A, N/A
625. Miếu Chính, Thụy Trình- Thái Thụy, Lịch sử văn hóa, N/A, N/A
626. Miếu Đông, Dương Hồng Thủy- Thái Thụy, Lịch sử văn hóa, N/A, N/A
627. Nhà lưu niệm Phạm Thế Hiển, Thụy Phong- Thái Thụy, Lịch sử văn hóa, N/A, N/A
628. Từ Giành, Thụy Văn- Thái Thụy, Lịch sử văn hóa, N/A, N/A
629. Đình Đông Quách, Nam Hà- Tiền Hải, Lịch sử văn hóa, N/A, N/A
630. Đình Nho Lâm, Đình Thanh Giám, Đông Lâm- Tiền Hải, Lịch sử văn hóa, N/A, N/A
631. Đình Tiểu Hoàng, Đình Ngoại Đê, Lăng Nguyễn Công Trứ, thị trấn Tiền Hải, Lịch sử văn hóa, N/A, N/A
632. Đình Tổ, Nhà thờ Họ Tạ, Thư Điền, Tây Giang- Tiền Hải, Lịch sử văn hóa, N/A, N/A
633. Mả Bụt, Vũ Lăng- Tiền Hải, Lịch sử văn hóa, 1993, N/A
634. Khu lưu niệm Bùi Viện, An Ninh- Tiền Hải, Lịch sử văn hóa, N/A, N/A
635. Khu lưu niệm Ngô Quang Bích, An Ninh- Tiền Hải, Lịch sử văn hóa, N/A, N/A
636. Chùa Keo (Thái Bình), Duy Nhất- Vũ Thư, Lịch sử văn hóa đặc biệt, 2012, 1419/QĐ-TTg
637. Chùa Từ Vân, Bách Thuận- Vũ Thư, Lịch sử văn hóa, N/A, N/A
638. Đền Thượng, Song Lãng- Vũ Thư, Lịch sử văn hóa, N/A, N/A
639. Đền và Lăng mộ Quế Hoa, Việt Hùng- Vũ Thư, Lịch sử văn hóa, N/A, N/A
640. Đình Bách Tính, Bách Thuận- Vũ Thư, Lịch sử văn hóa, N/A, N/A
641. Đình Đền Bổng Điền, Tân Lập- Vũ Thư, Lịch sử văn hóa, N/A, N/A
642. Đình Dũng Thúy, Dũng Nghĩa- Vũ Thư, Lịch sử văn hóa, N/A, N/A
643. Đình La Uyên, Minh Quang- Vũ Thư, Lịch sử văn hóa, N/A, N/A
644. Đình Mỹ Bổng, Đình Mỹ Lộc, Việt Hùng- Vũ Thư, Lịch sử văn hóa, N/A, N/A
645. Đình Phương Cáp, Hiệp Hòa- Vũ Thư, Lịch sử văn hóa, N/A, N/A
646. Đình Thuận An, Việt Thuận- Vũ Thư, Lịch sử văn hóa, N/A, N/A
647. Khu lưu niệm Bác Hồ, Tân Hòa- Vũ Thư, Lịch sử văn hóa, N/A, N/A
648. Miếu Hai Thôn, Xuân Hòa- Vũ Thư, Lịch sử văn hóa, N/A, N/A
649. Từ đường Doãn Khuê, Song Lãng- Vũ Thư, Lịch sử văn hóa, 7/2/2013, Quyết định 668/QĐ-BVHTTDL
650. Từ đường Hoàng Công Chất, Nguyên Xá- Vũ Thư, Lịch sử văn hóa, N/A, N/A
651. Từ đường Nguyễn Kim Nho, Bách Thuận- Vũ Thư, Lịch sử văn hóa, N/A, N/A
652. Đền Trần (Nam Định) - Chùa Phổ Minh, Lộc Vượng- Nam Định, Lịch sử văn hóa đặc biệt, 1962, đặc biệt 2012 theo 1419/QĐ-TTg
653. Đền Cổ Trạch, Lộc Vượng- Nam Định, Lịch sử văn hóa, 1962, số 313-VH/VP
654. Đền Thiên Trường, Lộc Vượng- Nam Định, Lịch sử văn hóa, 1962, số 313-VH/VP
655. Chùa Đệ Tứ, Lộc Hạ, Lịch sử văn hóa, 2004, N/A
656. Cột cờ Nam Định, Ngô Quyền- Tp. Nam Định, Lịch sử văn hóa, 1962, N/A
657. Những di tích lịch sử chống Mỹ cứu nước tại thành phố Nam Định (bao gồm Cửa hàng cắt tóc và Cửa hàng ăn uống dưới hầm; Khu Chỉ huy Sở của Nhà máy Dệt; Khu di tích phố Hàng Thao - nơi ghi lại tội ác của giặc Mỹ; Hầm Chỉ huy Thành Ủy Nam Định trong thời kỳ chống Mỹ cứu nước), Bà Triệu- Tp. Nam Định, Lịch sử văn hóa, 1979, N/A
658. Nhà số 7 phố Bến Ngự, Phan Đình Phùng- Tp. Nam Định, Lịch sử văn hóa, 1991, N/A
659. Chùa Cồn, Cồn- Hải Hậu, Lịch sử văn hóa, 1997, N/A
660. Cầu ngói chợ Lương, Hải Anh- Hải Hậu, Văn hóa kiến trúc, 1990, N/A
661. Đền chùa Xã Hạ, Hải Bắc- Hải Hậu, Lịch sử văn hóa, 1995, N/A
662. Chùa Hà Lạn, Hải Phúc- Hải Hậu, Lịch sử văn hóa, 2001, N/A
663. Chùa Phúc Hải, Hải Minh- Hải Hậu, Lịch sử văn hóa, 1993, N/A
664. Chùa Phúc Sơn, Hải Trung- Hải Hậu, Lịch sử văn hóa, 1996, N/A
665. Chùa Cổ Lễ, Cổ Lễ- Trực Ninh, Lịch sử văn hóa, 1988, N/A
666. Chùa Cự Trữ, Phương Định- Trực Ninh, Văn hóa kiến trúc, 1990, N/A
667. Chùa Cổ Chất, Phương Định- Trực Ninh, Văn hóa kiến trúc, 1992, N/A
668. Địa điểm các đồn binh thời Trần (bao gồm Đền Xối Đông Thượng, Xối Đông Trung, Xối Đông Hạ), Trung Đông- Trực Ninh, Lịch sử văn hóa, 1994, N/A
669. Chùa Đại Bi, Nam Giang- Nam Trực, Lịch sử văn hóa, 1964, N/A
670. Chùa Keo Hành Thiện, Xuân Hồng- Xuân Trường, Văn hóa kiến trúc đặc biệt, 1962 2016, số 313-VH/VP đặc biệt 2499/QĐ-TTg
671. Nhà lưu niệm đồng chí Trường Chinh, Xuân Hồng- Xuân Trường, Lịch sử văn hóa, 1994, N/A
672. Chùa Nghĩa Xá, Xuân Ninh- Xuân Trường, Lịch sử văn hóa, 1991, N/A
673. Đền Xuân Hy (đền Hạ), Xuân Thủy- Xuân Trường, Lịch sử văn hóa, 1990, N/A
674. Đền Xuân Bảng, Xuân Hùng- Xuân Trường, Văn hóa kiến trúc, 1989, N/A
675. Chùa Diêm Điền, Ngô Đồng- Giao Thủy, Lịch sử văn hóa, 1995, N/A
676. Khu di tích Hoành Nha, Giao Tiến- Giao Thủy, Lịch sử văn hóa, 1993, N/A
677. Miếu và đình Cao Đài, Mỹ Thành- Mỹ Lộc, Văn hóa kiến trúc, 1964, N/A
678. Đình Sùng Văn, Mỹ Thuận- Mỹ Lộc, Lịch sử văn hóa, 1997, N/A
679. Đình Thượng Đồng, Yên Tiến- Ý Yên, Lịch sử văn hóa, 1990, N/A
680. Đình Ruồi, Yên Nghĩa- Ý Yên, Lịch sử văn hóa, 1992, N/A
681. Đình Cát Đằng, Yên Tiến- Ý Yên, Lịch sử văn hóa, 1992, N/A
682. Đình, chùa Đô Quan, Yên Khang- Ý Yên, Lịch sử văn hóa, 1998, N/A
683. Đình Hưng Lộc, Nghĩa Thịnh- Nghĩa Hưng, Văn hóa kiến trúc, 1993, N/A
684. Đền, chùa Hưng Thịnh, Hoàng Nam- Nghĩa Hưng, Lịch sử văn hóa, 1994, N/A
685. Đền, chùa Hà Dương, Hoàng Nam- Nghĩa Hưng, Lịch sử văn hóa, 2017, số 817/QĐ
686. Đền Vua Đinh Tiên Hoàng, Trường Yên - Hoa Lư, N/A, N/A, Đền Vua Đinh là một di tích quan trọng thuộc vùng bảo vệ đặc biệt của quần thể di sản cố đô Hoa Lư. Vị trí của đền thuộc trung tâm thành Đông của kinh đô Hoa Lư xưa.
687. Đền Vua Lê Đại Hành, Trường Yên - Hoa Lư, N/A, N/A, Đền Vua Lê là một di tích quan trọng thuộc vùng bảo vệ đặc biệt của quần thể di sản cố đô Hoa Lư. Vị trí của đền thuộc trung tâm thành Đông của kinh đô Hoa Lư xưa.
688. Đền Thái Vi, Ninh Hải - Hoa Lư, N/A, N/A, Thờ các vua đầu nhà Trần: Thái Tông, Thánh Tông, Nhân Tông, Anh Tông, Trần Hưng Đạo, Trần Quang Khải và hoàng hậu Thuận Thiên đã lập ra hành cung Vũ Lâm
689. Đền Suối Tiên, Ninh Hải - Hoa Lư, N/A, N/A, Thờ thần Quý Minh - vị thổ thần từ thời Hùng Vương được Đinh Tiên Hoàng đế phong trấn Nam Hoa Lư tứ trấn
690. Đền Trần, Trường Yên - Hoa Lư, N/A, N/A, Do Vua Đinh Tiên Hoàng cho lập để thờ thần Quý Minh, Vua Trần Thái Tông sau này đã xây dựng lại đền đá như kiến trúc hiện nay nên gọi là đền Trần.
691. Đền Trình, Trường Yên - Hoa Lư, N/A, N/A, Thờ 2 vị tướng nhà Đinh có công bảo vệ ấu chúa Đinh Toàn và tận trung với nhà Đinh, chống đối việc lên ngôi của Lê Hoàn.
692. Đền Tứ Trụ, Trường Yên - Hoa Lư, N/A, N/A, Thờ Tứ trụ triều Đình nhà Đinh: Tể tướng Nguyễn Bặc; Ngoại giáp Đinh Điền; Thượng thư Trịnh Tú; Thái sư Lưu Cơ.
693. Đền thờ Công chúa Phất Kim, Trường Yên - Hoa Lư, N/A, N/A, Nằm ở làng cổ Yên Thành, thờ Công chúa Phất Kim con gái Vua Đinh Tiên Hoàng, người được Vua Đinh gả cho sứ quân Ngô Nhật Khánh.
694. Động Thiên Hà, Sơn Hà - Nho Quan, N/A, N/A, Động Thiên Hà là hang động đẹp, gồm cả động khô và động ướt với đa dạng hệ thống nhũ đá vẫn được kiến tạo. Động chứa nhiều dấu vết để lại của cư dân Việt cổ.
695. Động Tiên Cá, Ninh Hải - Hoa Lư, N/A, N/A, Động xuyên thủy dài hơn 1500m có hệ thống nhũ đá muôn hình vạn trạng. Du khách được đi trên một hành lang bằng bè tre để xuyên vào trong lòng động.
696. Động Vái Giời, Ninh Hải - Hoa Lư, N/A, N/A, Động Vái Giời rộng khoảng 5000m2, cửa động nằm ở độ cao 439 bậc đá với 3 tầng "Trần gian, Địa ngục và Thiên đường" với nhiều măng nhũ đá lung linh huyền ảo.
697. Động, chùa Bích Động, Ninh Hải - Hoa Lư, N/A, N/A, Xuyên thủy động nằm trong lòng núi Bích Động, nơi có ngôi chùa cổ được xây dựng từ thời Hậu Lê. Danh thắng được mệnh danh là "Nam thiên đệ nhị động"
698. Động Am Tiên, Trường Yên - Hoa Lư, N/A, N/A, Là pháp trường xử án thời Đinh, nơi gắn bó và tôn thờ các danh nhân: Trương Ma Ni, Thái hậu Dương Vân Nga và Quốc sư Nguyễn Minh Không.
699. Đình Yên Trạch, Trường Yên - Hoa Lư, N/A, N/A, TổngTrường Yên xưa gồm 7 làng cổ: Yên Thượng, Yên Thành, Yên Trung, Yên Hạ, Yên Trạch, Chi Phong và Lạc Hối. Ngôi đình trong làng cổ Yên Trạch thờ Đinh Tiên Hoàng.
700. Hang Bói, Trường Yên - Hoa Lư, N/A, N/A, Di chỉ khảo cổ học chứa đựng dấu ấn người tiền sử sinh sống tại Tràng An cách ngày nay từ 5.000 đến 30.000 năm.
701. Hang Mòi, Ninh Hải - Hoa Lư, N/A, N/A, Di chỉ khảo cổ học thể hiện cư dân Tràng An sống ở 2 trạng thái môi trường khác nhau: lục địa và biển; mức sớm từ 7.000 đến 10.000 năm, muộn từ 3.500 đến 6.000 năm.
702. Hang Trống, Ninh Hải - Hoa Lư, N/A, N/A, Di chỉ khảo cổ học hang Trống là hang động có nhiều di vật, dấu tích của người tiền sử từ 3.000-30.000 năm trước thuộc nền văn hóa Tràng An
703. Hang Bụt, Ninh Hải - Hoa Lư, N/A, N/A, Hang Bụt là một hang đá tự nhiên dài 500m, xuyên thủy qua núi Tướng. Nơi rộng nhất tới 70m, trần hang cao khoảng 30m, hang có hệ thống nhũ đá lung linh kỳ ảo.
704. Hành cung Vũ Lâm, Ninh Xuân - Hoa Lư, N/A, N/A, Là căn cứ quân sự do Các vua đầu nhà Trần lập để củng cố lực lượng trong kháng chiến Nguyên Mông. Đây còn là nơi các vua Trần xuất gia tu hành, mở mang phật giáo.
705. Phủ Khống, Trường Yên - Hoa Lư, N/A, N/A, Thờ 7 vị quan trung thần với triều Đinh và Vị quan trấn ải nơi đây đã lập đền thờ và trồng cây thị đặc biệt ở bên cạnh phủ.
706. Vườn chim Thung Nham, , N/A, N/A, Vườn chim trải rộng trên diện tích hơn 300ha, là nơi cư trú của khoảng 40.000 con, khoảng 5.000 tổ chim các loại, thuộc 46 loài chim, nhiều loài trong sách Đỏ VN.
707. Chùa Duyên Ninh, Trường Yên - Hoa Lư, N/A, N/A, Chùa Duyên Ninh được xem là một trong những ngôi chùa cầu duyên nổi tiếng nhất ở Việt Nam. Chùa được xây dựng từ thế kỷ X dưới thời vua Đinh Tiên Hoàng.
708. Chùa Bà Ngô, Trường Yên - Hoa Lư, N/A, N/A, Chùa Bà Ngô là một di tích thuộc quần thể di tích quốc gia đặc biệt cố đô Hoa Lư, chùa được xây từ thời nhà Đinh, gắn với vị hoàng hậu là bà Ngô phu nhân.
709. Chùa Nhất Trụ, Trường Yên - Hoa Lư, N/A, N/A, Chùa cổ thời Tiền Lê, nơi có bảo vật quốc gia cột kinh bằng đá với nhiều dấu tích minh chứng cho sự phát triển rực rỡ của phật giáo Hoa Lư thế kỷ X.
710. Chùa Kim Ngân, Trường Yên - Hoa Lư, N/A, N/A, Ngôi chùa cổ từ thời Đinh, thuộc làng Chi Phong - thành Tây kinh đô Hoa Lư là nơi sinh ra Vua Lý Thái Tông đồng thời là ngôi chùa cầu duyên nổi tiếng ở Việt Nam.
711. Hang Muối, Trường Yên - Hoa Lư, N/A, N/A, Hang Muối nằm ở gần sông Sào Khê thuộc phạm vi thành Đông kinh đô Hoa Lư, tương truyền là nơi cất giữ muối, lương thực.
712. Hang Quàn, Trường Yên - Hoa Lư, N/A, N/A, Hang Quàn nằm trong ngọn núi là tường thành Đông của kinh đô Hoa Lư, tương truyền là nơi các quan sử dụng kỹ thuật ướp xác để bảo vệ thi thể Vua Đinh.
713. Núi Chùa Am, Trường Yên - Hoa Lư, N/A, N/A, Núi có 2 ngôi chùa thời Đinh. Chùa Am thuộc thôn Yên Trung, nằm ở phía tây bắc núi; chùa Đìa thuộc thôn Yên Thành, nằm ở phía đông nam núi Đìa, xã Trường Yên.
714. Tam Cốc, Ninh Hải - Hoa Lư, N/A, N/A, Danh thắng Tam Cốc gồm cảnh quan thiên nhiên 2 bên sông Ngô Đồng đâm xuyên qua núi tạo ra 3 hang động xuyên thủy.
715. Phủ Đông Vương, Trường Yên - Hoa Lư, N/A, N/A, Phủ Đông Vương nằm biệt lập. Thờ Hoàng tử Đông Thành Vương Lê Ngân Tích, con thứ hai của Vua Lê Đại Hành.
716. Phủ Vườn Thiên, Trường Yên - Hoa Lư, N/A, N/A, Phủ Vườn Thiên nằm ở làng cổ Yên Thành. Thờ Thái tử Kình Thiên Vương Lê Long Thâu là thái tử, con cả Vua Lê Đại Hành nên còn gọi là phủ Kình Thiên.
717. Bia Cửa Đông, Trường Yên - Hoa Lư, N/A, N/A, Bia Cửa Đông (bia hang Thầy Bói) được tạc dưới chân núi Đầm, gọi cửa thành này là Đông Môn, là nơi bá quan văn võ triều Đinh Lê qua lại mỗi khi vào triều bệ kiến.
718. Lăng vua Đinh, lăng vua Lê, Trường Yên - Hoa Lư, N/A, N/A, Lăng Vua Đinh Tiên Hoàng nằm trên núi Mã Yên còn lăng Vua Lê Đại Hành nằm ở dưới chân núi Mã Yên; thuộc phạm vi thành Đông kinh đô Hoa Lư.
719. Núi chùa Bái Đính, Gia Sinh - Gia Viễn, N/A, N/A, Nơi có khu chùa cổ với hang động, đền thờ thần Cao Sơn có từ thời Đinh và Khu chùa mới với nhiều kỷ lục Việt Nam và châu Á được xác lập.
720. Núi Non Nước, Thanh Bình - Tp Ninh Bình, N/A, N/A, Núi nổi tiếng với hơn 100 bài thơ khắc lên đá. Trên núi có lầu đón gió và Tượng đài anh hùng Lương Văn Tụy. Chân núi là chùa Non Nước và đền Trương Hán Siêu.
